provider_user_id,profession_id,fixed_price,hourly_rate
211,3731,NULL,NULL
211,3732,NULL,NULL
214,3731,NULL,NULL
219,3731,NULL,NULL
220,3729,NULL,NULL
221,3729,NULL,NULL
227,3731,NULL,NULL
228,3731,NULL,NULL
229,3731,NULL,NULL
230,3731,NULL,NULL
231,3731,NULL,NULL
232,3731,NULL,NULL
233,3731,NULL,NULL
234,3731,NULL,NULL
235,3731,NULL,NULL
236,3731,NULL,NULL
237,3731,NULL,NULL
238,3731,NULL,NULL
239,3731,NULL,NULL
240,3731,NULL,NULL
241,3731,NULL,NULL
242,3731,NULL,NULL
243,3731,NULL,NULL
244,3731,NULL,NULL
245,3731,NULL,NULL
246,3731,NULL,NULL
247,3731,NULL,NULL
248,3731,NULL,NULL
249,3731,NULL,NULL
250,3731,NULL,NULL
251,3731,NULL,NULL
252,3731,NULL,NULL
253,3731,NULL,NULL
254,3731,NULL,NULL
255,3731,NULL,NULL
256,3731,NULL,NULL
468,3731,NULL,NULL
469,3731,NULL,NULL
470,3731,NULL,NULL
471,3731,NULL,NULL
472,3731,NULL,NULL
473,3731,NULL,NULL
474,3731,NULL,NULL
475,3731,NULL,NULL
476,3731,NULL,NULL
477,3731,NULL,NULL
478,3731,NULL,NULL
479,3731,NULL,NULL
480,3731,NULL,NULL
481,3731,NULL,NULL
482,3731,NULL,NULL
483,3731,NULL,NULL
484,3731,NULL,NULL
485,3731,NULL,NULL
486,3731,NULL,NULL
487,3731,NULL,NULL
488,3731,NULL,NULL
489,3731,NULL,NULL
490,3731,NULL,NULL
491,3731,NULL,NULL
492,3731,NULL,NULL
493,3731,NULL,NULL
494,3731,NULL,NULL
495,3731,NULL,NULL
496,3731,NULL,NULL
497,3731,NULL,NULL
507,3728,NULL,NULL
507,3729,NULL,NULL
509,3728,NULL,NULL
509,3729,NULL,NULL
511,3728,NULL,NULL
511,3729,NULL,NULL
513,3728,NULL,NULL
513,3729,NULL,NULL
515,3728,NULL,NULL
515,3729,NULL,NULL
517,3728,NULL,NULL
517,3729,NULL,NULL
519,3728,NULL,NULL
519,3729,NULL,NULL
521,3728,NULL,NULL
521,3729,NULL,NULL
523,3728,NULL,NULL
523,3729,NULL,NULL
525,3728,NULL,NULL
525,3729,NULL,NULL
528,3736,NULL,NULL
528,3744,NULL,NULL
547,4196,NULL,NULL
548,4202,NULL,NULL
549,4202,NULL,NULL
550,3728,NULL,NULL
551,4202,NULL,NULL
552,3731,NULL,NULL
553,3731,NULL,NULL
554,3736,NULL,NULL
564,3731,NULL,NULL
572,3731,NULL,NULL
594,4196,NULL,NULL
596,4196,NULL,NULL
598,4196,NULL,NULL
600,4196,NULL,NULL
602,4196,NULL,NULL
604,4196,NULL,NULL
606,4196,NULL,NULL
608,4196,NULL,NULL
609,3731,NULL,NULL
722,1,NULL,NULL
722,2,NULL,NULL
723,1,NULL,NULL
723,2,NULL,NULL
723,4196,NULL,NULL
724,1,NULL,NULL
724,2,NULL,NULL
724,4196,NULL,NULL
725,1,NULL,NULL
725,2,NULL,NULL
725,4196,NULL,NULL
726,1,NULL,NULL
726,2,NULL,NULL
727,1,NULL,NULL
727,2,NULL,NULL
728,1,NULL,NULL
728,2,NULL,NULL
729,1,NULL,NULL
729,2,NULL,NULL
730,1,NULL,NULL
730,2,NULL,NULL
731,1,NULL,NULL
731,2,NULL,NULL
732,1,NULL,NULL
732,2,NULL,NULL
733,1,NULL,NULL
733,2,NULL,NULL
734,1,NULL,NULL
734,2,NULL,NULL
735,1,NULL,NULL
735,2,NULL,NULL
736,1,NULL,NULL
736,2,NULL,NULL
737,1,NULL,NULL
737,2,NULL,NULL
738,1,NULL,NULL
738,2,NULL,NULL
739,1,NULL,NULL
739,2,NULL,NULL
740,1,NULL,NULL
740,2,NULL,NULL
741,1,NULL,NULL
741,2,NULL,NULL
742,1,NULL,NULL
742,2,NULL,NULL
743,1,NULL,NULL
743,2,NULL,NULL
744,1,NULL,NULL
744,2,NULL,NULL
745,1,NULL,NULL
745,2,NULL,NULL
746,1,NULL,NULL
746,2,NULL,NULL
747,1,NULL,NULL
747,2,NULL,NULL
748,1,NULL,NULL
748,2,NULL,NULL
749,1,NULL,NULL
749,2,NULL,NULL
750,1,NULL,NULL
750,2,NULL,NULL
751,1,NULL,NULL
751,2,NULL,NULL
752,1,NULL,NULL
752,2,NULL,NULL
753,1,NULL,NULL
753,2,NULL,NULL
754,1,NULL,NULL
754,2,NULL,NULL
755,1,NULL,NULL
755,2,NULL,NULL
756,1,NULL,NULL
756,2,NULL,NULL
757,1,NULL,NULL
757,2,NULL,NULL
758,1,NULL,NULL
758,2,NULL,NULL
759,1,NULL,NULL
759,2,NULL,NULL
760,1,NULL,NULL
760,2,NULL,NULL
761,1,NULL,NULL
761,2,NULL,NULL
762,1,NULL,NULL
762,2,NULL,NULL
763,1,NULL,NULL
763,2,NULL,NULL
764,1,NULL,NULL
764,2,NULL,NULL
765,1,NULL,NULL
765,2,NULL,NULL
766,1,NULL,NULL
766,2,NULL,NULL
792,1,NULL,NULL
831,4203,NULL,NULL
832,4196,NULL,NULL
834,3744,NULL,NULL
835,3736,NULL,NULL
835,3744,NULL,NULL
849,4196,NULL,NULL
850,4242,NULL,NULL
873,4196,NULL,NULL
874,3731,NULL,NULL
878,4292,NULL,NULL
